uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Renal,,Misc,N/A,Renal,,,,,,,,,,,
,Renal Artery Stenosis,,Misc,N/A,Renal Artery Stenosis,,,,,,,,,,,
,Renal Masses,,Misc,N/A,Renal Masses,,,,,,,,,,,
,Renovascular Disease,,Misc,N/A,Renovascular Disease,,,,,,,,,,,
,Reported Weight Loss greater than 10 percent,,Misc,N/A,Reported weight loss > 10%,,,,,,,,,,,
,Requiring laparotomy,,Finding,N/A,Requiring laparotomy,,,,,,,,,,,
,Resectable Disease (Stage I-III),,Misc,N/A,Resectable Disease (Stage I-III),,,,,,,,,,,
,Resectable/Curable Disease,,Misc,N/A,Resectable/Curable Disease,,,,,,,,,,,
,Results Pending,,Misc,N/A,P,,,,,,,,,,,
,Retained,,Misc,N/A,Retained,,,,,,,,,,,
,RF Negative,,Misc,N/A,RF Negative,,,,,,,,,,,
,RF Positive,,Misc,N/A,RF Positive,,,,,,,,,,,
,Rhinitis,,Misc,N/A,Rhinitis,,,,,,,,,,,
,Rhinosinositis,,Misc,N/A,Rhinosinositis,,,,,,,,,,,
,Right Side,,Misc,N/A,Right Side,,,,,,,,,,,
,S/P Chemotherapy,,Misc,N/A,S/P Chemotherapy,,,,,,,,,,,
,S/P Radiotherapy,,Misc,N/A,S/P Radiotherapy,,,,,,,,,,,
,S/P Surgery,,Misc,N/A,S/P Surgery,,,,,,,,,,,
,Salbutamol,,Misc,N/A,Salbutamol,,,,,,,,,,,
,Sarcoidosis,,Misc,N/A,Sarcoidosis,,,,,,,,,,,
,"Second Degree Perineal Laceration, with Delivery",,Misc,N/A,Second Degree Laceration,,,,,,,,,,,
,Self Reported,,Misc,N/A,Self Reported,,,,,,,,,,,
,Send to ER,,Misc,N/A,Send to ER,,,,,,,,,,,
,Septic Abortion,,Misc,N/A,Septic Abortion,,,,,,,,,,,
,Severe,,Misc,N/A,Severe,,,,,,,,,,,
,Severe Exacerbation,,Misc,N/A,Severe Exacerbation,,,,,,,,,,,
,Severity classification NYHA - Class I,,Misc,N/A,Severity classification NYHA - Class I,,,,,,,,,,,
,Severity classification NYHA - Class II,,Misc,N/A,Severity classification NYHA - Class II,,,,,,,,,,,
,Severity classification NYHA - Class III,,Misc,N/A,Severity classification NYHA - Class III,,,,,,,,,,,
,Severity classification NYHA - Class VI,,Misc,N/A,Severity classification NYHA - Class VI,,,,,,,,,,,
,Sexual Dysfunction,,Misc,N/A,Sexual Dysfunction,,,,,,,,,,,
,Shortness of Breath,,Misc,N/A,Shortness of Breath,,,,,,,,,,,
,Shoulder Presentation,,Misc,N/A,Shoulder,,,,,,,,,,,
,Sigmoid,,Misc,N/A,Sigmoid,,,,,,,,,,,
,Single live birth,,Misc,N/A,Single live birth,,,,,,,,,,,
,Single stillbirth,,Misc,N/A,Single stillbirth,,,,,,,,,,,
,Skeletal,,Misc,N/A,Skeletal,,,,,,,,,,,
,Skilled Birth Attendant,,Misc,N/A,SBA,,,,,,,,,,,
,Sleep Deprivation,,Misc,N/A,Sleep deprivation,,,,,,,,,,,
,Slit Skin Positive,,Misc,N/A,Slit Skin Positive,,,,,,,,,,,
,Small And Echogenic Kidneys,,Misc,N/A,Small And Echogenic Kidneys,,,,,,,,,,,
,Smoking,,Misc,N/A,,,,,,,,,,,,
,Sometimes,,Misc,N/A,Sometimes,,,,,,,,,,,
,Spironolactone,,Misc,N/A,Spironolactone,,,,,,,,,,,
,Spontaneous abortion,,Misc,N/A,Spontaneous abortion,,,,,,,,,,,
,Spontaneous Vaginal Delivery,,Misc,N/A,Spontaneous Vaginal Delivery,,,,,,,,,,,
,Sputum,,Misc,N/A,Sputum,,,,,,,,,,,
,Squamous Cell Carcinoma,,Misc,N/A,Squamous Cell Carcinoma,,,,,,,,,,,
,Stable,,Misc,N/A,Stable,,,,,,,,,,,
,Stage 0,,Misc,N/A,0,,,,,,,,,,,
,Stage 1,,Misc,N/A,Stage 1,,,,,,,,,,,
,Stage 2,,Misc,N/A,Stage 2,,,,,,,,,,,
,Stage 3,,Misc,N/A,Stage 3,,,,,,,,,,,
,Stage G2 Or Worse,,Misc,N/A,Stage G2 Or Worse,,,,,,,,,,,
,Stage I,,Misc,N/A,I,,,,,,,,,,,
,Stage I0,,Misc,N/A,0,,,,,,,,,,,
,Stage I1,,Misc,N/A,1,,,,,,,,,,,
,Stage IA,,Misc,N/A,IA,,,,,,,,,,,
,Stage IB,,Misc,N/A,IB,,,,,,,,,,,
,Stage II,,Misc,N/A,II,,,,,,,,,,,
,Stage IIA,,Misc,N/A,IIA,,,,,,,,,,,
,Stage IIB,,Misc,N/A,IIB,,,,,,,,,,,
,Stage III,,Misc,N/A,III,,,,,,,,,,,
,Stage IIIA,,Misc,N/A,IIIA,,,,,,,,,,,
,Stage IIIB,,Misc,N/A,IIIB,,,,,,,,,,,
,Stage IIIC,,Misc,N/A,IIIC,,,,,,,,,,,
,Stage IV,,Misc,N/A,IV,,,,,,,,,,,
,Stage IVA,,Misc,N/A,IVA,,,,,,,,,,,
,Stage IVB,,Misc,N/A,IVB,,,,,,,,,,,
,Stage S0,,Misc,N/A,0,,,,,,,,,,,
,Stage S1,,Misc,N/A,1,,,,,,,,,,,
,Stage T0,,Misc,N/A,0,,,,,,,,,,,
,Stage T1,,Misc,N/A,1,,,,,,,,,,,
,Stage V,,Misc,N/A,V,,,,,,,,,,,
,Standing at work,,Misc,N/A,Standing at work,,,,,,,,,,,
,Statin,,Misc,N/A,Statin,,,,,,,,,,,
,Status Quo,,Misc,N/A,S,,,,,,,,,,,
,Stenting / bypass history,,Misc,N/A,Stenting / bypass history,,,,,,,,,,,
,Steroid,,Misc,N/A,Steroid,,,,,,,,,,,
,Stress,,Misc,N/A,Stress,,,,,,,,,,,
,Stroke,,Misc,N/A,Stroke,,,,,,,,,,,
,Sulfonuria,,Misc,N/A,Sulfonuria,,,,,,,,,,,
,Superclavicular,,Misc,N/A,Superclavicular,,,,,,,,,,,
,Surgery,,Misc,N/A,Surgery,,,,,,,,,,,
,Syetematic Rheumatic Diseases,,Misc,N/A,Syetematic Rheumatic Diseases,,,,,,,,,,,
,Symptoms of Hypoglycemia,,Misc,N/A,Symptoms of Hypoglycemia,,,,,,,,,,,
,T0 Tumor Stage,,Misc,N/A,T0,,,,,,,,,,,
,T1 Tumor Stage,,Misc,N/A,T1,,,,,,,,,,,
,T2 Tumor Stage,,Misc,N/A,T2,,,,,,,,,,,
,T3 Tumor Stage,,Misc,N/A,T3,,,,,,,,,,,
,T4 Tumor Stage,,Misc,N/A,T4,,,,,,,,,,,
,Tamoxifen,,Misc,N/A,Tamoxifen,,,,,,,,,,,
,Td4 Tumor Stage,,Misc,N/A,Td4,,,,,,,,,,,
,"Third Degree Perineal Laceration, with Delivery",,Misc,N/A,Third Degree Laceration,,,,,,,,,,,
,Three,,Misc,N/A,Three,,,,,,,,,,,
,Thrust/Yeast,,Misc,N/A,Thrust/Yeast,,,,,,,,,,,
,Tingling,,Misc,N/A,Tingling,,,,,,,,,,,
,Tis Tumor Stage,,Misc,N/A,Tis,,,,,,,,,,,
,Tobacco,,Misc,N/A,,,,,,,,,,,,
,Tonsillar Hypertrophy,,Misc,N/A,Tonsillar hypertrophy,,,,,,,,,,,
,Total Nephrectomy,,Misc,N/A,Total Nephrectomy,,,,,,,,,,,
,"Treated at, Home",,Misc,N/A,"Treated at, Home",,,,,,,,,,,
,"Treated at, Inpatient",,Misc,N/A,"Treated at, Inpatient",,,,,,,,,,,
,Treatment after default,,Misc,N/A,Treatment after default,,,,,,,,,,,
,Treatment after failure,,Misc,N/A,Treatment after failure,,,,,,,,,,,
,Treatment after relapse,,Misc,N/A,Treatment after relapse,,,,,,,,,,,
,Treatment Complete,,Misc,N/A,Complete,,,,,,,,,,,
,Treatment Cured,,Misc,N/A,Cured,,,,,,,,,,,
,Treatment Default,,Misc,N/A,Default,,,,,,,,,,,
,Treatment Failure,,Misc,N/A,Treatment Failure,,,,,,,,,,,
,Treatment Not Continued,,Misc,N/A,Treatment Not Continued,,,,,,,,,,,
,Tuberculoid,,Misc,N/A,TT,,,,,,,,,,,
,Tubulointerstitial Diseases,,Misc,N/A,Tubulointerstitial Diseases,,,,,,,,,,,
,Tumor,,Misc,N/A,Tumor,,,,,,,,,,,
,Twins both liveborn,,Misc,N/A,Twins both liveborn,,,,,,,,,,,
,Twins both stillborn,,Misc,N/A,Twins both stillborn,,,,,,,,,,,
,Twins one liveborn and one stillborn,,Misc,N/A,Twins one liveborn and one stillborn,,,,,,,,,,,
,Two,,Misc,N/A,Two,,,,,,,,,,,
,TX Tumor Stage,,Misc,N/A,TX,,,,,,,,,,,
,Type 1 DM,,Misc,N/A,Type 1 DM,,,,,,,,,,,
,Type 2 DM,,Misc,N/A,Type 2 DM,,,,,,,,,,,
,Unexpected,,Misc,N/A,Unexpected,,,,,,,,,,,
,Unexplained Fever,,Misc,N/A,Unexplained Fever,,,,,,,,,,,
,Unknown,,Misc,N/A,Unknown,,,,,,,,,,,
,uptitrate medicine as below,,Misc,N/A,uptitrate medicine as below,,,,,,,,,,,
,Urinary Disease,,Misc,N/A,Urinary Disease,,,,,,,,,,,
,Uterine or Intra-abdominal injury,,Finding,N/A,Uterine or Intra-abdominal injury,,,,,,,,,,,
,Valvular disease,,Misc,N/A,Valvular disease,,,,,,,,,,,
,Valvular Heart Disease,,Misc,N/A,Valvular Heart Disease,,,,,,,,,,,
,Vascular Diseases,,Misc,N/A,Vascular Diseases,,,,,,,,,,,
,Vincristine/Actinomycin D,,Misc,N/A,Vincristine/Actinomycin D,,,,,,,,,,,
,Vincristine/Actinomycin D/Doxorubicin,,Misc,N/A,Vincristine/Actinomycin D/Doxorubicin,,,,,,,,,,,
,Viral Cardiomyopathy,,Misc,N/A,Viral Cardiomyopathy,,,,,,,,,,,
,Vomiting,,Misc,N/A,Vomiting,,,,,,,,,,,
,Weakness / Facial Droop,,Misc,N/A,Weakness / Facial Droop,,,,,,,,,,,
,Weight Loss,,Misc,N/A,Weight Loss,,,,,,,,,,,
,Wheezing,,Misc,N/A,Wheezing,,,,,,,,,,,
,Worsened Comorbid Illness,,Misc,N/A,Worsened Comorbid Illness,,,,,,,,,,,
,Worsening Hypertension,,Misc,N/A,Worsening Hypertension,,,,,,,,,,,
,Worsening valvular disease,,Misc,N/A,Worsening valvular disease,,,,,,,,,,,
,Worst in Life,,Misc,N/A,Worst in Life,,,,,,,,,,,
,Yes,,Misc,N/A,Yes,,,,,,,,,,,
,Zero,,Misc,N/A,Zero,,,,,,,,,,,
