Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
48bcdab5-adb0-4229-aef3-1168a51c2932,,,Eucalyptus & Diphenhydramine & Phenylephrine,Eucalyptus & Diphenhydramine & Phenylephrine,Drug,N/A,,,
136d7f67-07d7-48f3-9bc8-8b275f0d45c3,,,Someticone,Someticone,Drug,N/A,,,
a546446e-e789-4d02-b02f-c938c6bd373f,,,Boric acid & Antipyrine & Ephedrine,Acide borique & Antipyrine & Ephedrine,Drug,N/A,,,
252159dc-3a8c-4587-801f-762118de992c,,,Belladona & Phenobarbital,Belladona & Phenobarbital,Drug,N/A,,,
8f8920be-f144-4fba-b4db-d32940dcea04,,,Dequalinium & Lidocaine,Déqualinium & Lidocaïne,Drug,N/A,,,
05130695-8005-4d57-a803-111265f0f4c1,,,Diclofenac & Vitamin B complex,Diclofénac & Complexe de vitamine B,Drug,N/A,,,
66c997ab-d252-43e5-94ca-b5925a60fdbb,,,Diclofenac & Methocarbamol & Paracetamol,Diclofenac & Methocarbamol & Paracetamol,Drug,N/A,,,
5dd3d4a7-5389-4213-94a9-95c193b8b144,,,Diclofenac & B complex & Chlorzoxasone (Orthoflex),Diclofenac & B complex & Chlorzoxasone (Orthoflex),Drug,N/A,,,
5ac2861d-71e9-4488-bf29-449d555ddfcb,,,Diosmine & Hesperidine,Diosmine & Hesperidine,Drug,N/A,,,
1d47e474-4ae6-4e47-9b69-2ce6ed7399ac,,,Glucosamine & Chondroitin,Glucosamine & Chondroitin,Drug,N/A,,,
a30dc1f2-a26b-4bc0-90a4-e7eb7feea473,,,Nystatin & Zinc Oxide,Nystatine et oxyde de zinc,Drug,N/A,,,
bcf73538-3f39-4429-a30d-8499609942cd,,,Multivitamin & Iron,Multivitamines et fer,Drug,N/A,,,
792871a0-4a52-4e5d-bdd2-4fd49d636227,,,Podophillin,Podophylline,Drug,N/A,,,
e140fc36-0987-4dcf-9854-e3fed9682c82,,,Phenoxy penicillin,Phénoxy pénicilline,Drug,N/A,,,
393b2c77-d2d9-475f-8c67-b35f9d5afc6a,,,Extrait d'Artichaut (Bilvit) solution,Extrait d'Artichaut (Bilvit) solution,Drug,N/A,,,
56032611-cbb1-422d-91c4-eddb13684a4d,,,Soufre savon,Soufre savon,Drug,N/A,,,
846f0b27-0bbe-4cd0-afe6-6b0763188ff1,,,Rowatinex,Rowatinex,Drug,N/A,,,
ede5d881-3675-4238-ba10-9e8de8d13400,,,Benzocaine & Enoxolone & Dodeclonium & Esculoside (Sédorrhoide) Onguent hemmorroidal,Benzocaine & Enoxolone & Dodeclonium & Esculoside (Sédorrhoide) Onguent hemmorroidal,Drug,N/A,,,
70c5e490-eabc-11ef-b410-0242ac13000a,,dosing units,Dosing Units,"Unités de dosage",ConvSet,N/A,161553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162262AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162264AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162361AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162360AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 161554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162359AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162358AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162357AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162354AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162376AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162351AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162335AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 165171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162383AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162382AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162379AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162378AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162377AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 1518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162374AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162373AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162372AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162370AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162369AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162368AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA; 162263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;,,
