Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
0e8496ea-c8f7-4f08-abef-994e3c3243a2,,Diazepam Co 5mg,Diazepam,Tablet,5mg,
2dca268b-fdb8-42f2-85eb-73a884c020ce,,Diazepam Injection vial 5mg,Diazepam,Injectable,vial 5mg,
7bedc809-05bd-4baf-bd4b-5a21d9e48a01,,Diclofenac Co 50mg,Diclofenac,Tablet,50mg,
2832337e-3ef1-47fa-8a46-2bc6e9910353,,Diclofenac Injection vial 75mg,Diclofenac,Injectable,vial 75mg,
62ee5947-bf62-4a42-8c07-0f939f766afe,,Dolex Pommade,Dolex,Ointment,N/A,
c6f2a3cb-b57f-4537-a179-ea0764d38690,,Doxicycline Co 100mg,Doxycycline,Tablet,100mg,
33558e37-627d-475f-b18f-5e5baf0ac0a6,,Dyphenhydramine Co 25mg,Diphenhydramine,Tablet,25mg,
a377a5e6-0992-46c5-b5b0-5e3aafa27e16,,Dyphenhydramine Sirop 12.5mg/5ml,Diphenhydramine,Powder suspension,12.5mg/5ml,
3e3c72db-491c-4690-be8b-1f2528fa3266,,Dyphenhydramine Injection vial 20mg,Diphenhydramine,Injectable,vial 20mg,
f3a1a212-12bc-43bd-b03f-73aeaac1379e,,Dypirone Inj vial 1g,Dypirone,Injectable,vial 1g,
38978734-0960-4c7d-bb1e-725532bc4c6a,,Enalapril Co 10mg,Enalapril,Tablet,10mg,
872c01c8-e9c9-478f-b2f6-87acf661ab6c,,Ergotamine Injection 2mg,Ergotamine,Injectable,2mg,
cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d,,Erythromicine Co 500mg,Erythromycin estolate,Tablet,500mg,
74c26d25-3b98-4bf7-b962-3de028b352a7,,Erythromicine Sirop 125mg,Erythromycin estolate,Powder suspension,125mg,
2b05efc6-833d-4718-9e39-6aab785cbfce,,Fer Up Sirop,Ferrous sulfate,Powder suspension,N/A,
114d5a9f-f369-4976-9eb7-1f78050c6a9b,,Fer Folate Co,Ferrous Folate,Tablet,N/A,
a67aaa3a-0e89-4bb7-abf0-54eb6edbecad,,Globugen Sirop,Ferrous Folate,Powder suspension,N/A,
2f76266a-a841-4147-9401-c6b8409b8ccc,,Fluconazole Co 150mg,Fluconazole,Tablet,150mg,
824dcc1b-27b7-459c-8f41-026b3af8dbe4,,Fongobacter Rince Bouche,Fungobacter,Solution,N/A,
109ca9ff-5a43-42bd-b039-ba08c683ebb5,,Furosemide Injection vial 20mg,Furosemide,Injectable,vial 20mg,
eff805bf-db0e-4adf-9a3d-9a5039083016,,Furosemide Co 40mg,Furosemide,Tablet,40mg,
f8b1ef4c-66b6-4520-addc-ee58dd011c65,,Gastrogel Sirop,Antacid,Powder suspension,N/A,
0113c442-4959-430d-a389-8cbafa2b8733,,Dextrose D50,Dextrose,Solution,D50,
80143eee-aad0-42bc-885c-7b84fa9d9f44,,Glybenclamide Co 5mg,Glibenclamide,Tablet,5mg,
a491df48-4a2f-4f4a-a1b0-8bde19af5fb3,,Griséofulvine Sirop 125mg,Griseofulvine,Powder suspension,125mg,
74ae589d-140f-4b2e-a040-d3ad09148f3f,,Hydrochlorothiazide Co 50mg,Hydrochlorothiazide,Tablet,50mg,
d07d5371-355c-4c61-9469-3f354f7edd5e,,Hydrocortisone creme 1%,Hydrocortisone,Cream,1%,
baa212eb-23a2-43c4-b2ac-badf95eac406,,Hydrocortisone Injection vial 100mg,Hydrocortisone,Injectable,vial 100mg,
daf6e832-5615-44ce-a512-6f1c239245d9,,Hyoscine Butylbromide Injection vial 20mg,Hyoscine Butylbromide,Injectable,vial 20mg,
f05dd6ca-43d0-45ea-93ef-8d82483bbdc9,,Ibuprofene Co 400mg,Ibuprofen,Tablet,400mg,
3b3e2029-84c4-4472-85b4-a1f1af0885b6,,Insuline R 100UI/1ml,Insulin,Injectable,100UI/1ml,
5b420f3b-7584-4934-b457-91d6f94ff6b7,,Ketoconazole Co 200mg,Ketoconazole,Tablet,200mg,
aa42752c-af45-449c-ae9f-30c6e272cee4,,Ketoconazole Shampooing 2%,Ketoconazole,Solution,2%,
92247357-ccd3-4f83-9362-f40a103f4cd4,,Ketoconazole creme 2%,Ketoconazole,Cream,2%,
c00019ed-8b20-4445-891e-6de8fd9e6d33,,Ketoconazole Savon 2%,Ketoconazole,Solution,2%,
5360f695-a3e2-4593-9426-69ef43781877,,Losartan Co 5mg,Losartan,Tablet,5mg,
b35c87c8-fb39-4ca4-aae9-0986349c5eaf,,MGSO4 25%,Magnesium,Injectable,25%,
095f2aaa-351b-4848-9039-87bf67e2e97b,,Metformin Co 500mg,Metformin,Tablet,500mg,
7a563628-d9c4-4a25-8193-207199051785,,Metoclopramide Co 10mg,Metoclopramide,Tablet,10mg,
66319a6e-d296-4929-b7ed-b2ff8e108bc9,,Metoclopramide Injection vial 10mg,Metoclopramide,Injectable,vial 10mg,
2421535d-e55e-4fa0-9dd5-039d8a63ed6a,,Metoclopramide Sirop 5mg/5ml,Metoclopramide,Powder suspension,5mg/5ml,
1ea6b0b2-25d7-4279-b4ee-ccbacd60d17a,,Metoprolol Co 50mg,Metoprolol,Tablet,50mg,
5690d13c-595b-4e29-bc7f-711afc8e7a16,,Metronidazole Co 500mg,Metronidazole,Tablet,500mg,
1f17613f-0e53-4609-9856-558ed43e085d,,Metronidazole Sirop 250mg,Metronidazole,Powder suspension,250mg,
c933dc30-36f6-471f-bca6-53d8a682dce1,,Metronidazole et Nystatin Ovules Vaginales 500mg+100000UI,Metronidazole and Nystatin,Tablet,500mg+100000UI,
2b6dca2c-1499-4724-8648-42d996a57c6d,,Tilvit Sirop,Multi-Vitamin Children,Powder suspension,N/A,
25dc03a6-b2ca-46d5-8121-43ab025b3e9c,,Neomycine creme 5m/g,Neomycin,Cream,5m/g,
057862ef-9fe0-40c8-8955-3149b25c4a70,,Nifedipine Co 20mg,Nifedipine,Tablet,20mg,
5650eb5e-97e5-45ed-8b61-46920d3bbc43,,Normal Saline 0.45%,Normal Saline (NS),Solution,0.45%,
17e9b385-de8b-4d60-a7de-c37cbe2a3d1c,,Gouttes Nasale 0.9%,Normal Saline (NS),Solution,0.90%,
e5574e71-17ea-434f-8649-eba766be4087,,Nystatin creme vaginale 100000UI/g,Nystatin,Cream,100000UI/g,
9e1837cf-0e08-41b0-90c0-11bdd0c4c046,,Nystatin Sirop 100000UI,Nystatin,Powder suspension,100000UI,
c10cc9b5-c1ec-4d73-9192-9dc6b40e16f9,,Omeprazole Co 20mg,Omeprazole,Tablet,20mg,
d16da6ff-03e6-49d3-998c-c4c0e77d811f,,Otocare Gouttes,Benzocaine-Chloroxylenol,Solution,N/A,
78e814ac-0974-41cc-8283-4487ccf32370,,Prednisone Co 5mg,Prednisone,Tablet,5mg,
57b30902-bce2-4279-ac22-b6d3fe5a4308,,Primaquine Sirop,Primaquine,Powder suspension,N/A,
7a1398d1-4667-4123-8633-db03f53299c2,,Primaquine Co 7.5mg,Primaquine,Tablet,7.5mg,
01999b32-4e32-4a7b-92b9-515185f60e21,,Ranitidine Injection vial 50mg,Ranitidine,Injectable,vial 50mg,
79c12ca2-0755-4bf4-b509-8c72239536f9,,Ringer Lactate,Ringers Lactate (RL),Solution,N/A,
3099b446-010e-426a-ba02-bf62f1077f2e,,Salbutamol Pompe,Salbutamol,Inhalation,N/A,
0f4627ca-7bb4-414f-a07e-5d24c0d3a442,,Salbutamol Co 4mg,Salbutamol,Tablet,4mg,
d39b535c-9a32-49c1-b339-e512d811c44d,,Salbutamol Sirop 2mg/5 ml,Salbutamol,Powder suspension,2mg/5ml,
13b68d05-a6c1-43ac-ae12-a68eb8459ab6,,Di-Gas Gtts 40mg,Simethicone,Solution,40mg,
e5e8b45b-83db-4a9d-8cd4-398c4e8081fa,,Simvastatin Co 20mg,Simvastatin,Tablet,20mg,
18ce1953-f81d-4443-8b81-c3ec6d891767,,Sorbacid Sirop 375mg,Sorbitol,Powder suspension,375mg,
3171aeb3-5475-4ea2-b662-531f0c732716,,Ophtalmide Gouttes,Sulfacetamide,Solution,N/A,
bebc4d5f-df7b-485a-9b3b-3420f536cb6f,,Cotrim Co 960mg,Sulfamethoxazole & Trimethoprim,Tablet,960mg,
bed41e87-9cfc-4d1f-9b44-c23732e6c162,,Cotrim Sirop 240mg/5ml,Sulfamethoxazole & Trimethoprim,Powder suspension,240mg/5ml,
ff3576e9-5c64-432a-9cc4-de46e808a290,,Tetracycline Ophtalmique,Tetracycline Ophtalmic,Cream,N/A,
80aded9f-32f0-4d5d-800c-043508f65ad8,,Trazidex Onguent Ophtalmique,Tobramycin & Dexamethasone,Cream,N/A,
85000244-5a6c-4ad5-98c1-49f7eaf69fc5,,Tramadol Injection vial 100mg,Tramadol,Injectable,vial 100mg,
1f543777-ea62-4cd5-b0b8-76edfca2b736,,Virufen forte Sirop,"Acetaminophen,Pseudo-ephedrine,Dextrometorphan,Chlorpheniramine",Powder suspension,N/A,
c5e1437f-e7d9-4016-8ceb-ce70056b6c8e,,Vitamin C Co 500mg,Vitamin C,Tablet,500mg,
ac6c90a6-1070-4ef7-a24a-8a668367b1fa,,Vitamin C Sirop 500mg/5ml,Vitamin C,Powder suspension,500mg/5ml,
85580d71-7bef-415c-8b88-4168285ace82,,Vitamin C Gouttes 100mg/ml,Vitamin C,Solution,100mg/ml,
af3fce1f-dcb1-4f76-ad4c-b8ebda43070c,,Vitamine B-Complex Injection,Vitamin B Complex,Injectable,N/A,
481e357d-6c45-4c8a-beec-6d8f858f2552,,Vitamine B-Complex Co,Vitamin B Complex,Tablet,N/A,
8a54b957-8c4d-4ab6-9e42-575bf5b7be83,,Vitamin A,Vitamin A,Solution,N/A,
9eb0a661-f27b-472e-a35d-04dc1dba0860,,Mycrogynon 30,"Levonorgestrel, Ethinylestradiol",Tablet,N/A,
61444a80-77b6-4986-b9c1-07eab731ce28,,Microlut 30,Levonorgestrel,Tablet,N/A,
012f0f5d-c76e-4a28-8e60-30c440f5ff62,,Depo Provera,Medroxyprojesterone acetate,Injectable,N/A,
62a34f17-e83c-4dbc-b53b-9a7f9478501a,,RHEZ,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide",Tablet,N/A,
667682cc-6731-4784-acdc-c7fb7c98d15a,,RH,"Rifampicine, Isoniazide",Tablet,N/A,
